Code,Name,Image name,Parent Category Code (optional),Urbanpiper Category,Tax Rate (%)
DRY FRUITS 12%GST,DRY FRUITS 12%GST,,PACKING MATERIAL,,
DRYFRUIT 12%GS,DRYFRUIT 12%GS,,RAW MATERIAL,,
DRYFRUIT 5%GST,DRYFRUIT 5%GST,,RAW MATERIAL,,
DRYFRUIT-O 12%GST,DRYFRUIT-O 12%GST,,OUTSOURCED ITEMS,,
DRYFRUIT-O 5%GST,DRYFRUIT-O 5%GST,,OUTSOURCED ITEMS,,
DRYFRUITS,DRYFRUITS,,,,
ENO 12%GST,ENO 12%GST,,RAW MATERIAL,,
ESSESNCE 18%GST,ESSESNCE 18%GST,,RAW MATERIAL,,
ESSESNCE 5%GST,ESSESNCE 5%GST,,RAW MATERIAL,,
FAFDA 12%GST,FAFDA 12%GST,,NAMKEEN,,
FAFDA S 5%GST,FAFDA S 5%GST,,SNACKS & CHAT ITEM,,
FARSAN 12%GST,FARSAN 12%GST,,NAMKEEN,,
FINGER 12%GST,FINGER 12%GST,,NAMKEEN,,
FLAKES 5%GST,FLAKES 5%GST,,RAW MATERIAL,,
FULWADI 12%GST,FULWADI 12%GST,,NAMKEEN,,
GATHIYA 12%GST,GATHIYA 12%GST,,NAMKEEN,,
GEL 5%GST,GEL 5%GST,,RAW MATERIAL,,
GHEE,GHEE,,,,
GHEE 12%GST,GHEE 12%GST,,RAW MATERIAL,,
GHEE 5%GST,GHEE 5%GST,,RAW MATERIAL,,
GHEE SWEET 5%GST,GHEE SWEET 5%GST,,SWEETS,,
GHEE-O 12%GST,GHEE-O 12%GST,,OUTSOURCED ITEMS,,
GLASS 12%GST,GLASS 12%GST,,PACKING MATERIAL,,
GLUCOSE 18%GST,GLUCOSE 18%GST,,RAW MATERIAL,,
GUD 0%GST,GUD 0%GST,,RAW MATERIAL,,
GULAB PATTI 0%GST,GULAB PATTI 0%GST,,RAW MATERIAL,,
GULKAND 12%GST,GULKAND 12%GST,,RAW MATERIAL,,
HONEY 5%GST,HONEY 5%GST,,RAW MATERIAL,,
IDLI 5%GST,IDLI 5%GST,,SNACKS & CHAT ITEM,,
IMALI 12%GST,IMALI 12%GST,,RAW MATERIAL,,
IMARTI 5%GST,IMARTI 5%GST,,SWEETS,,
JALEBI 5%GST,JALEBI 5%GST,,SWEETS,,
JAM 18%GST,JAM 18%GST,,RAW MATERIAL,,
JELLY 12%GST,JELLY 12%GST,,OUTSOURCED ITEMS,,
JELLY 18%GST,JELLY 18%GST,,OUTSOURCED ITEMS,,
JUICE & SHAKES 0%GST,JUICE & SHAKES 0%GST,,OUTSOURCED ITEMS,,
JUICE & SHAKES 12%GST,JUICE & SHAKES 12%GST,,OUTSOURCED ITEMS,,
JUICE & SHAKES 28%GST,JUICE & SHAKES 28%GST,,OUTSOURCED ITEMS,,
KACHORI 12%GST,KACHORI 12%GST,,NAMKEEN,,
KACHORI S 5%GST,KACHORI S 5%GST,,SNACKS & CHAT ITEM,,
KATORI 18%GST,KATORI 18%GST,,PACKING MATERIAL,,
KESHAR 5%GST,KESHAR 5%GST,,RAW MATERIAL,,
KETCHUP 12%GST,KETCHUP 12%GST,,RAW MATERIAL,,
khakhra,khakhra,,,,
KHAKHRA 5%GST,KHAKHRA 5%GST,,OUTSOURCED ITEMS,,
KHANDVI 5%GST,KHANDVI 5%GST,,SNACKS & CHAT ITEM,,
KHARA BUNDI 12%GST,KHARA BUNDI 12%GST,,NAMKEEN,,
KHARI 18%GST,KHARI 18%GST,,BAKERY ITEMS,,
KHOBRA 0%GST,KHOBRA 0%GST,,RAW MATERIAL,,
KRP FINISHED PRODUCT,KRP FINISHED PRODUCT,,,,
KRP RAW MATERIAL,KRP RAW MATERIAL,,,,
KULCHA 5%GST,KULCHA 5%GST,,SNACKS & CHAT ITEM,,
LABEL 18%GST,LABEL 18%GST,,PACKING MATERIAL,,
LADOO 5%GST,LADOO 5%GST,,SWEETS,,
LIFAFA 12%GST,LIFAFA 12%GST,,PACKING MATERIAL,,
MAGAJ BEEJ 5%GST,MAGAJ BEEJ 5%GST,,RAW MATERIAL,,
MAIDA 0%GST,MAIDA 0%GST,,RAW MATERIAL,,
MAIDA MUTTER 12%GST,MAIDA MUTTER 12%GST,,NAMKEEN,,
MAMRA 0%GST,MAMRA 0%GST,,OUTSOURCED ITEMS,,
MARGARIN 18%GST,MARGARIN 18%GST,,RAW MATERIAL,,
MASALA  5%GST,MASALA  5%GST,,OUTSOURCED ITEMS,,
MASALA 5%GST,MASALA 5%GST,,SNACKS & CHAT ITEM,,
MASALA CHANA 12%GST,MASALA CHANA 12%GST,,NAMKEEN,,
MASALA VATANA 12%GST,MASALA VATANA 12%GST,,NAMKEEN,,
MAWA SWEET 5%GST,MAWA SWEET 5%GST,,SWEETS,,
MAYONNAISE 12%GST,MAYONNAISE 12%GST,,RAW MATERIAL,,
METHI DANA 5%GST,METHI DANA 5%GST,,RAW MATERIAL,,
MILK 0%GST,MILK 0%GST,,RAW MATERIAL,,
MILK SWEET 5%GST,MILK SWEET 5%GST,,SWEETS,,
MINERAL WATER 0%GST,MINERAL WATER 0%GST,,OUTSOURCED ITEMS,,
MODAK 5%GST,MODAK 5%GST,,SWEETS,,
MOONG DAL FRY 12%GST,MOONG DAL FRY 12%GST,,NAMKEEN,,
MOONG JOR 12%GST,MOONG JOR 12%GST,,NAMKEEN,,
MUFFINS 18%GST,MUFFINS 18%GST,,BAKERY ITEMS,,
MUKHWAS 12%GST,MUKHWAS 12%GST,,OUTSOURCED ITEMS,,
MUKHWAS 5%GST,MUKHWAS 5%GST,,OUTSOURCED ITEMS,,
MUTHIYA 12%GST,MUTHIYA 12%GST,,NAMKEEN,,
MUTTER 5%GST,MUTTER 5%GST,,RAW MATERIAL,,
NAMKEEN,NAMKEEN,,,,
NAMKEEN - O 12%GST,NAMKEEN - O 12%GST,,OUTSOURCED ITEMS,,
NAMKEEN - O 5%GST,NAMKEEN - O 5%GST,,OUTSOURCED ITEMS,,
NIMBFUL 18%GST,NIMBFUL 18%GST,,RAW MATERIAL,,
NOODLES 0%GST,NOODLES 0%GST,,RAW MATERIAL,,
NUTRITIOUS-O 5%GST,NUTRITIOUS-O 5%GST,,OUTSOURCED ITEMS,,
OIL 18%GST,OIL 18%GST,,RAW MATERIAL,,
OIL 5%GST,OIL 5%GST,,RAW MATERIAL,,
Oil Filter 18%GST,Oil Filter 18%GST,,PACKING MATERIAL,,
OUTSOURCED ITEMS,OUTSOURCED ITEMS,,,,
PACKET 0%GST,PACKET 0%GST,,PACKING MATERIAL,,
PACKET 12%GST,PACKET 12%GST,,PACKING MATERIAL,,
PACKET 18%GST,PACKET 18%GST,,PACKING MATERIAL,,
PACKET 5%GST,PACKET 5%GST,,PACKING MATERIAL,,
PACKING MATERIAL,PACKING MATERIAL,,,,
PANI 5%GST,PANI 5%GST,,SNACKS & CHAT ITEM,,
PAPDI 5%GST,PAPDI 5%GST,,NAMKEEN,,
PAPER 12%GST,PAPER 12%GST,,RAW MATERIAL,,
PASTRY 12%GST,PASTRY 12%GST,,BAKERY ITEMS,,
PATIS 5%GST,PATIS 5%GST,,SNACKS & CHAT ITEM,,
PATRA 12%GST,PATRA 12%GST,,NAMKEEN,,
PATTIES 5%GST,PATTIES 5%GST,,SNACKS & CHAT ITEM,,
PEANUR SPREAD 12%GST,PEANUR SPREAD 12%GST,,OUTSOURCED ITEMS,,
PEDHA 5%GST,PEDHA 5%GST,,SWEETS,,
PENNI 12%GST,PENNI 12%GST,,NAMKEEN,,
